Area,Year,Region,SFBB,UFBB,Income
NORTH LINCOLNSHIRE,2016,Yorkshire,86.0,0.0,28091.0
RICHMONDSHIRE,2016,Yorkshire,75.0,0.0,29372.0
ROTHERHAM,2016,Yorkshire,81.0,0.0,24839.0
RYEDALE,2016,Yorkshire,72.0,3.0,23173.0
SELBY,2016,Yorkshire,77.0,6.0,28898.0
SHEFFIELD,2016,Yorkshire,86.0,1.0,26069.0
WAKEFIELD,2016,Yorkshire,93.0,0.0,24287.0
YORK,2016,Yorkshire,81.0,8.0,26096.0
BASILDON,2017,East,35.0,57.0,29839.0
BEDFORD,2017,East,57.0,34.0,30250.0
BRAINTREE,2017,East,76.0,0.0,31793.0
BRECKLAND,2017,East,80.0,0.0,24050.0
BROADLAND,2017,East,62.0,24.0,27417.0
BROXBOURNE,2017,East,18.0,80.0,32285.0
CAMBRIDGE,2017,East,62.0,36.0,32247.0
CENTRAL BEDFORDSHIRE,2017,East,90.0,2.0,31507.0
CHELMSFORD,2017,East,49.0,37.0,31767.0
COLCHESTER,2017,East,50.0,38.0,30923.0
DACORUM,2017,East,32.0,58.0,33337.0
EAST CAMBRIDGESHIRE,2017,East,81.0,8.0,30180.0
EAST HERTFORDSHIRE,2017,East,29.0,52.0,35349.0
EPPING FOREST,2017,East,22.0,68.0,35106.0
FENLAND,2017,East,75.0,15.0,26419.0
HARLOW,2017,East,9.0,88.0,27271.0
HERTSMERE,2017,East,33.0,63.0,31496.0
HUNTINGDONSHIRE,2017,East,87.0,6.0,30694.0
IPSWICH,2017,East,29.0,69.0,26673.0
KING'S LYNN AND WEST NORFOLK,2017,East,81.0,0.0,25353.0
LUTON,2017,East,21.0,76.0,28777.0
MID SUFFOLK,2017,East,70.0,1.0,25948.0
NORTH HERTFORDSHIRE,2017,East,84.0,4.0,36029.0
NORTH NORFOLK,2017,East,79.0,0.0,24479.0
PETERBOROUGH,2017,East,29.0,68.0,24245.0
SOUTH CAMBRIDGESHIRE,2017,East,71.0,23.0,35432.0
SOUTH NORFOLK,2017,East,78.0,1.0,27314.0
SOUTHEND-ON-SEA,2017,East,43.0,52.0,30099.0
TENDRING,2017,East,85.0,0.0,27554.0
THREE RIVERS,2017,East,30.0,64.0,32371.0
THURROCK,2017,East,27.0,66.0,29696.0
WATFORD,2017,East,36.0,62.0,34920.0
WELWYN HATFIELD,2017,East,88.0,5.0,32453.0
AMBER VALLEY,2017,East Midlands,87.0,1.0,30031.0
ASHFIELD,2017,East Midlands,98.0,0.0,24664.0
BLABY,2017,East Midlands,28.0,68.0,30294.0
BOLSOVER,2017,East Midlands,91.0,0.0,23587.0
BOSTON,2017,East Midlands,86.0,0.0,21089.0
BROXTOWE,2017,East Midlands,16.0,83.0,29428.0
CHARNWOOD,2017,East Midlands,43.0,53.0,27279.0
CHESTERFIELD,2017,East Midlands,94.0,0.0,25843.0
DERBY,2017,East Midlands,26.0,71.0,28633.0
DERBYSHIRE DALES,2017,East Midlands,77.0,1.0,31356.0
EAST LINDSEY,2017,East Midlands,78.0,2.0,24468.0
EREWASH,2017,East Midlands,29.0,69.0,26863.0
GEDLING,2017,East Midlands,77.0,21.0,27680.0
HARBOROUGH,2017,East Midlands,69.0,22.0,36117.0
HIGH PEAK,2017,East Midlands,86.0,0.0,28654.0
HINCKLEY AND BOSWORTH,2017,East Midlands,88.0,5.0,27384.0
LEICESTER,2017,East Midlands,16.0,78.0,21830.0
LINCOLN,2017,East Midlands,21.0,77.0,23272.0
MELTON,2017,East Midlands,88.0,1.0,26815.0
NEWARK AND SHERWOOD,2017,East Midlands,91.0,1.0,24785.0
NORTH WEST LEICESTERSHIRE,2017,East Midlands,34.0,58.0,26638.0
NOTTINGHAM,2017,East Midlands,20.0,76.0,23493.0
RUSHCLIFFE,2017,East Midlands,31.0,63.0,36520.0
RUTLAND,2017,East Midlands,82.0,8.0,28814.0
SOUTH DERBYSHIRE,2017,East Midlands,83.0,3.0,30028.0
SOUTH HOLLAND,2017,East Midlands,80.0,1.0,24936.0
WEST LINDSEY,2017,East Midlands,74.0,11.0,27959.0
BARKING AND DAGENHAM,2017,London,16.0,81.0,30200.0
BARNET,2017,London,62.0,34.0,37340.0
BEXLEY,2017,London,27.0,67.0,33453.0
BRENT,2017,London,53.0,42.0,30347.0
BROMLEY,2017,London,47.0,50.0,40184.0
CAMDEN,2017,London,94.0,3.0,39537.0
CROYDON,2017,London,28.0,67.0,33541.0
EALING,2017,London,46.0,51.0,32929.0
ENFIELD,2017,London,46.0,52.0,30920.0
GREENWICH,2017,London,70.0,27.0,33145.0
HACKNEY,2017,London,42.0,53.0,34816.0
HAMMERSMITH AND FULHAM,2017,London,64.0,28.0,40092.0
HARINGEY,2017,London,21.0,77.0,32965.0
HARROW,2017,London,27.0,70.0,34219.0
HAVERING,2017,London,17.0,80.0,32986.0
HILLINGDON,2017,London,13.0,82.0,31618.0
HOUNSLOW,2017,London,18.0,78.0,31792.0
ISLINGTON,2017,London,31.0,65.0,37972.0
KINGSTON UPON THAMES,2017,London,13.0,84.0,37594.0
LAMBETH,2017,London,59.0,34.0,34266.0
LEWISHAM,2017,London,64.0,31.0,34201.0
MERTON,2017,London,17.0,81.0,35708.0
NEWHAM,2017,London,29.0,68.0,29107.0
REDBRIDGE,2017,London,22.0,75.0,33201.0
RICHMOND UPON THAMES,2017,London,19.0,78.0,40818.0
SOUTHWARK,2017,London,62.0,25.0,35012.0
SUTTON,2017,London,22.0,76.0,32425.0
TOWER HAMLETS,2017,London,45.0,45.0,37643.0
WALTHAM FOREST,2017,London,14.0,82.0,31419.0
WANDSWORTH,2017,London,65.0,29.0,40123.0
WESTMINSTER,2017,London,71.0,14.0,43105.0
COUNTY DURHAM,2017,North East,91.0,1.0,25667.0
GATESHEAD,2017,North East,28.0,65.0,25802.0
HARTLEPOOL,2017,North East,19.0,76.0,25525.0
MIDDLESBROUGH,2017,North East,9.0,85.0,24141.0
NEWCASTLE UPON TYNE,2017,North East,71.0,24.0,26691.0
NORTH TYNESIDE,2017,North East,38.0,57.0,27855.0
NORTHUMBERLAND,2017,North East,87.0,2.0,27113.0
REDCAR AND CLEVELAND,2017,North East,30.0,63.0,25390.0
SOUTH TYNESIDE,2017,North East,94.0,0.0,25301.0
STOCKTON-ON-TEES,2017,North East,31.0,63.0,26538.0
SUNDERLAND,2017,North East,47.0,49.0,24914.0
ALLERDALE,2017,North West,86.0,1.0,29363.0
BARROW-IN-FURNESS,2017,North West,98.0,0.0,30025.0
BLACKBURN WITH DARWEN,2017,North West,38.0,59.0,23183.0
BLACKPOOL,2017,North West,74.0,24.0,23055.0
BOLTON,2017,North West,29.0,69.0,24364.0
BURNLEY,2017,North West,98.0,0.0,23659.0
BURY,2017,North West,61.0,36.0,27652.0
CARLISLE,2017,North West,63.0,27.0,23192.0
CHESHIRE EAST,2017,North West,87.0,3.0,28682.0
CHESHIRE WEST AND CHESTER,2017,North West,75.0,16.0,29478.0
CHORLEY,2017,North West,49.0,45.0,27463.0
COPELAND,2017,North West,87.0,0.0,43252.0
EDEN,2017,North West,73.0,2.0,24413.0
FYLDE,2017,North West,70.0,20.0,30498.0
HALTON,2017,North West,40.0,57.0,26143.0
HYNDBURN,2017,North West,47.0,49.0,25069.0
KNOWSLEY,2017,North West,26.0,72.0,26235.0
LIVERPOOL,2017,North West,21.0,75.0,26017.0
MANCHESTER,2017,North West,51.0,41.0,25000.0
OLDHAM,2017,North West,35.0,62.0,24907.0
PRESTON,2017,North West,31.0,65.0,24176.0
ROCHDALE,2017,North West,83.0,15.0,24603.0
ROSSENDALE,2017,North West,93.0,0.0,23379.0
SALFORD,2017,North West,23.0,70.0,26097.0
SEFTON,2017,North West,48.0,50.0,26801.0
SOUTH RIBBLE,2017,North West,33.0,62.0,26750.0
ST. HELENS,2017,North West,15.0,78.0,25352.0
STOCKPORT,2017,North West,22.0,76.0,29048.0
TAMESIDE,2017,North West,84.0,12.0,24289.0
TRAFFORD,2017,North West,63.0,35.0,32047.0
WARRINGTON,2017,North West,33.0,63.0,28168.0
WEST LANCASHIRE,2017,North West,85.0,3.0,28445.0
WIGAN,2017,North West,22.0,76.0,26957.0
WIRRAL,2017,North West,78.0,17.0,27561.0
ABERDEEN CITY,2017,Scotland,90.0,0.0,28500.0
